name,administrative_unit,last_update,county,status_notes,location,date_started
Del Puerto Fire ,CDF Santa Clara UnitåÊ,"July 24, 2003 7:00 amåÊ",StanislausåÊ,"100% contained - 5,909 acresåÊ",Del Puerto Canyon Road/MP 16åÊ,"July 20, 2003 10:08 amåÊ"
Haverford FireåÊ,CAL FIRE San Diego UnitåÊ,"November 24, 2007 9:00 pmåÊ",San Diego CountyåÊ,"100% contained - 25 acres  Near Ramona, off of Hwy 78åÊ","Near Ramona, off of Hwy 78åÊ","November 24, 2007 9:50 amåÊ"
Corral FireåÊ,Los Angeles County FireåÊ,"November 27, 2007 8:00 amåÊ",Los AngelesåÊ,"100% contained - 4,901 acresNear Malibu Creek State Park.åÊ",Malibu Creek State ParkåÊ,"November 24, 2007 3:23 amåÊ"
Ammo Fire ,Camp Pendleton/San Diego County Operational AreaåÊ,"October 29, 2007 6:00 amåÊ",San Diego CountyåÊ,"100% contained- 21,004 acresåÊ","Camp Pendleton USMC, North of San DiegoåÊ","October 23, 2007 9:20 pmåÊ"
Poomacha Fire ,CAL FIRE / San Diego County Operational AreaåÊ,"November 9, 2007 6:30 amåÊ",San DiegoåÊ,"100% contained - 49,410 acresåÊ","Hwy 76, Pauma ValleyåÊ","October 23, 2007 3:13 pmåÊ"
Meadowridge FireåÊ,Los Angeles County FireåÊ,"October 30, 2007 6:00 amåÊ",Los Angeles CountyåÊ,100% contained - 40 acresåÊ,Santa Clarita - 14 Freeway / San FernandoåÊ,"October 23, 2007 4:08 amåÊ"
Martin Ranch Fire ,CAL FIRE San Bernardino åÊ,"October 30, 2007 6:00 amåÊ",San Bernardino County åÊ,100% contained - 123 acresåÊ,Martin Ranch Road at Meyers RoadåÊ,"October 23, 2007 1:03 amåÊ"
Rosa Fire ,CAL FIRE Riverside/Riverside County FireåÊ,"October 31, 2007 10:00 amåÊ",Riverside CountyåÊ,100% contained - 411 acresåÊ,"East of Temecula, north of FallbrookåÊ","October 22, 2007 11:06 pmåÊ"
Grass Valley Fire ,San Bernardino National ForeståÊ,"November 6, 2007 6:00 amåÊ",San BernardinoåÊ,"100% contained - 1,247 acresåÊ",Northwest of Lake ArrowheadåÊ,"October 22, 2007 5:08 pmåÊ"
Slide Fire ,San Bernardino National ForeståÊ,"November 6, 2007 6:00 amåÊ",San BernardinoåÊ,"100% contained - 12,759 acresåÊ","Green Valley Lake, Near Running SpringsåÊ","October 22, 2007 4:32 pmåÊ"
Rice Fire ,CAL FIRE / San Diego County Operational AreaåÊ,"November 1, 2007 6:00 pmåÊ",San DiegoåÊ,"100% contained - 9,472 acresåÊ","Rice Canyon, Clearwater Rd. FallbrookåÊ","October 22, 2007 4:16 pmåÊ"
Magic Fire ,Los Angeles County FireåÊ,"October 31, 2007 11:25 amåÊ",Los Angeles CountyåÊ,"100% contained - 2,824 acresåÊ",Magic Mountain Parkway and The Old RoadåÊ,"October 22, 2007 2:17 pmåÊ"
Cajon Fire ,San Bernardino National ForeståÊ,"October 30, 2007 6:00 amåÊ",San Bernardino CountyåÊ,100% contained - 250 acresåÊ,I-15 / Kenwood in DevoreåÊ,"October 22, 2007 11:48 amåÊ"
Walker FireåÊ,Ontario Fire Department åÊ,"October 30, 2007 6:00 pmåÊ",San Bernardino CountyåÊ,100% contained - 160 acresåÊ,"Walker Avenue and Schaefer Avenue, OntarioåÊ","October 22, 2007 10:00 amåÊ"
Coronado Hills Fire ,San Marcos Fire DepartmentåÊ,"October 30, 2007 6:00 amåÊ",San Diego County åÊ,100% contained - 250 acresåÊ,On Attebury to the south of Cal State San MarcosåÊ,"October 22, 2007 1:46 amåÊ"
Santiago Fire ,Orange County Fire Authority/Cleveland National ForeståÊ,"November 9, 2007 6:30 amåÊ",Orange CountyåÊ,"100% contained - 28,400 acresåÊ",Santiago Canyon and Silverado Canyon åÊ,"October 21, 2007 5:55 pmåÊ"
Roca FireåÊ,CAL FIRE Riverside/Riverside County FireåÊ,"November 1, 2007 6:30 pmåÊ",Riverside CountyåÊ,100% contained - 270 acresåÊ,Roca Vista and Highway 371åÊ,"October 21, 2007 3:52 pmåÊ"
Buckweed (Agua Dulce) Fire ,Los Angeles County FireåÊ,"November 1, 2007 7:00 pmåÊ",Los Angeles CountyåÊ,100% containment åÊ,Mint Canyon Road and Sierra HighwayåÊ,"October 21, 2007 12:55 pmåÊ"
Witch Fire ,CAL FIRE/San Diego County Operational AreaåÊ,"November 6, 2007 6:00 amåÊ",San Diego CountyåÊ,"100% contained - 197,990 acresåÊ","Witch Creek area, east of RamonaåÊ","October 21, 2007 12:35 pmåÊ"
Nightsky FireåÊ,Ventura County FireåÊ,"November 1, 2007 7:00 pmåÊ",Ventura CountyåÊ,100% contained - 35 acresåÊ,2 miles south of MoorparkåÊ,"October 21, 2007 10:35 amåÊ"
October FireåÊ,Los Angeles County FireåÊ,"October 30, 2007 6:00 amåÊ",Los Angeles CountyåÊ,100% contained - 20 acresåÊ,Santa Clarita - 14 Freeway / PlaceritaåÊ,"October 21, 2007 9:47 amåÊ"
Harris Fire ,CAL FIRE / San Diego County Operational AreaåÊ,"November 5, 2007 9:45 pmåÊ",San Diego CountyåÊ,"100% contained - 90,440 acresåÊ",Highway 94 and Harris Ranch Rd near Portrero åÊ,"October 21, 2007 9:23 amåÊ"
Sedgewick FireåÊ,Los Padres National ForeståÊ,"October 30, 2007 6:00 amåÊ",Santa Barbara County åÊ,100% contained - 710 acresThis fire was caused by arching power lines. 30 personnel are assigned to this fire. åÊ,Brinkerhoff Rd/Sedgewick Ranch/ Figueroa MountainåÊ,"October 21, 2007 6:00 amåÊ"
Canyon Fire ,Los Angeles County FireåÊ,"November 1, 2007 7:00 pmåÊ",Los Angeles County åÊ,100% contained åÊ,Malibu Canyon south of Pacific Coast HighwayåÊ,"October 21, 2007 4:55 amåÊ"
Ranch Fire ,Angeles National ForeståÊ,"November 1, 2007 6:30 pmåÊ",Los Angeles CountyåÊ,100%åÊ,"Near Townsand Peak, southwest of Templin Highway and Interstate 5åÊ","October 20, 2007 9:42 pmåÊ"
Angel Fire ,CAL FIRE San Diego UnitåÊ,"September 19, 2007 6:00 pmåÊ",San Diego CountyåÊ,"100% contained - 837 acres  Whispering Pines/Hwy 78, JulianåÊ","Whispering Pines/Hwy 78, JulianåÊ","September 15, 2007 1:31 pmåÊ"
Butler II FireåÊ,San Bernardino National ForeståÊ,"September 21, 2007 10:00 amåÊ",San Bernardino CountyåÊ,"100% contained - 14,039 acresNorth of Big BearåÊ",Northwest of Big BearåÊ,"September 14, 2007 1:51 pmåÊ"
Pine FireåÊ,Cleveland National ForeståÊ,"September 16, 2007 7:00 amåÊ",San Diego CountyåÊ,"100% contained - 2,170 acresSouth of Pine Valley åÊ",South of Pine Valley åÊ,"September 12, 2007 2:10 pmåÊ"
Colina FireåÊ,CAL FIRE Riverside Unit / Riverside County FireåÊ,"September 12, 2007 10:00 amåÊ",Riverside CountyåÊ,100% contained - 430 acresHills west of TemeculaåÊ,Hills west of TemeculaåÊ,"September 10, 2007 2:45 pmåÊ"
Mariposa FireåÊ,Santa Barbara County FireåÊ,"September 5, 2007 8:00 amåÊ",Santa Barbara CountyåÊ,100% contained - 176 acres Highway 101 and Mariposa RienaåÊ,Highway 101 and Mariposa RienaåÊ,"September 3, 2007 8:00 pmåÊ"
Moonlight Fire ,Plumas National ForeståÊ,"September 19, 2007 7:00 amåÊ",Plumas CountyåÊ,"100% contained - 64,997 acresSix miles Northeast of GreenvilleåÊ",Six miles Northeast of GreenvilleåÊ,"September 3, 2007 2:25 pmåÊ"
Lick Fire ,CAL FIRE Santa Clara UnitåÊ,"September 11, 2007 7:45 pmåÊ",Santa Clara CountyåÊ,"100% contained - 47,760 acresHenry Coe State ParkåÊ","Henry Coe State Park, east of GilroyåÊ","September 3, 2007 1:45 pmåÊ"
North FireåÊ,Angeles National ForeståÊ,"September 8, 2007 8:00 amåÊ",Los Angeles CountyåÊ,"100% contained - 2,200 acresSix miles southwest of ActonåÊ",Six miles southwest of ActonåÊ,"September 2, 2007 2:30 pmåÊ"
Butler FireåÊ,San Bernardino National ForeståÊ,"September 4, 2007 6:00 pmåÊ",San Bernardino CountyåÊ,100% contained - 85 acresThe fire is burning south of Butler Peak and west of Big Bear Lake åÊ,South of Butler Peak and west of Big Bear Lake åÊ,"September 1, 2007 12:30 amåÊ"
Stevens FireåÊ,CAL FIRE Santa Clara UnitåÊ,"September 2, 2007 8:00 amåÊ",Santa Clara CountyåÊ,100% contained - 151 acresNear Stevens Canyon Reservior åÊ,"Cupertino, near Stevens Canyon ReservoiråÊ","August 30, 2007 12:30 pmåÊ"
Quien FireåÊ,CAL FIRE San Benito-Monterey UnitåÊ,"September 3, 2007 9:30 amåÊ",Monterey CountyåÊ,100% contained - 486 acresOff Hwy 25 near San Juan BatistaåÊ,Off Hwy 25 near San Juan BatistaåÊ,"August 30, 2007 3:45 amåÊ"
Cherry FireåÊ,Klamath National Forest åÊ,"September 6, 2007 6:00 pmåÊ",Siskiyou CountyåÊ,100% contained - 95 acres Six miles northwest of Sawyers Bar in the Salmon River Ranger District of the Klamath National ForeståÊ,6 miles Northwest of Sawyers BaråÊ,"August 29, 2007 7:00 pmåÊ"
Wallow FireåÊ,Shasta-Trinity National ForeståÊ,"September 3, 2007 7:30 amåÊ",Trinity CountyåÊ,"100% contained - 1,440 acresåÊ","7 miles southwest of Hayfork, CaliforniaåÊ","August 29, 2007 2:00 pmåÊ"
Lazy FireåÊ,Shasta-Trinity National ForeståÊ,"September 10, 2007 1:00 pmåÊ",Trinity CountyåÊ,100% contained - 599 acres;  Northeast of CoveloåÊ,Northeast of Covelo åÊ,"August 29, 2007 1:40 pmåÊ"
Grouse FireåÊ,Sequoia National ForeståÊ,"September 17, 2007 7:30 amåÊ",Tulare CountyåÊ,"67% contained - 1,022 acresCrews continue to monitor. For the latest information, please call the Springville Ranger Station at (559) 539-2607.åÊ",Northeast of Porterville in the Golden Trout WildernessåÊ,"August 27, 2007 12:00 pmåÊ"
Italian FireåÊ,CAL FIRE Tuolumne-Calaveras UnitåÊ,"August 24, 2007 7:30 pmåÊ",Tuolumne CountyåÊ,100% contained - 102 acresåÊ,"Italian Bar Road and Yankee Hill Road, ColumbiaåÊ","August 22, 2007 11:00 pmåÊ"
80 FireåÊ,Nevada-Yuba-Placer UnitåÊ,"August 24, 2007 8:00 pmåÊ",Nevada CountyåÊ,100% contained - 78 acresåÊ,I-80 near Donner SummitåÊ,"August 22, 2007 1:46 pmåÊ"
Snow FireåÊ,San Bernardino National ForeståÊ,"August 25, 2007 6:30 pmåÊ",San Bernardino CountyåÊ,100% contained - 100 acresåÊ,Northeast of the town of Pine Cove åÊ,"August 21, 2007 11:57 amåÊ"
Tar Fire ,CAL FIRE Fresno-Kings UnitåÊ,"August 17, 2007 7:00 pmåÊ",Fresno CountyåÊ,"100% contained - 5,644 acresåÊ",9 miles southwest of AvenalåÊ,"August 10, 2007 5:34 pmåÊ"
Colby FireåÊ,Lassen National ForeståÊ,"August 13, 2007 7:00 amåÊ",Tehama CountyåÊ,100% contained - 260 acresåÊ,15 miles northeast of Forest Ranch on Hwy 32åÊ,"August 10, 2007 3:00 pmåÊ"
Seven Eleven FireåÊ,Six Rivers National ForeståÊ,"July 16, 2007 7:30 pmåÊ",Del NorteåÊ,100% contained - 140 acresåÊ,Near the town of Gasquet åÊ,"July 11, 2007 1:00 amåÊ"
Elk ComplexåÊ,Klamath National ForeståÊ,"September 17, 2007 7:30 amåÊ",SiskiyouåÊ,"90% contained - 17,684 acresThe Elk Complex is 90% contained. Crews continue to monitor. Check www.fs.fed.us/r5/klamath/conditions/ or call the Fire Information Center at (530) 841-4451 for current information on road, trail, and river access closures. Full containment expected October 30, 2007. åÊ",Happy Camp Ranger DistrictåÊ,"July 10, 2007 10:00 pmåÊ"
Fletcher FireåÊ,Modoc National ForeståÊ,"July 19, 2007 7:00 pmåÊ",ModocåÊ,"100% -  8,121 acres åÊ",10 miles Northwest of Davis Creek åÊ,"July 10, 2007 1:15 pmåÊ"
China-Back ComplexåÊ,Klamath National ForeståÊ,"July 19, 2007 7:00 pmåÊ",SiskiyouåÊ,"100% contained - 2,906 acres åÊ",12 miles west of Yreka åÊ,"July 10, 2007 12:00 amåÊ"
Canyon Fire ,Los Angeles County FireåÊ,"July 9, 2007 8:00 amåÊ",Los Angeles CountyåÊ,100% contained - 815 acres åÊ,"Agua Dulce, Agua Dulce Canyon and 14 FreewayåÊ","July 7, 2007 2:35 pmåÊ"
Inyo ComplexåÊ,Inyo National ForeståÊ,"July 14, 2007 8:00 pmåÊ",Inyo CountyåÊ,"100% contained - 35,176 acresåÊ",Various locations on Inyo National ForeståÊ,"July 6, 2007 1:40 pmåÊ"
Antelope ComplexåÊ,Plumas National ForeståÊ,"July 14, 2007 8:00 pmåÊ",PlumasåÊ,"100% contained - 22,902 acres åÊ",Antelope Lake Recreational AreaåÊ,"July 5, 2007 4:00 pmåÊ"
Zaca Fire ,Los Padres National Forest / Santa Barbara County FireåÊ,"September 4, 2007 8:00 amåÊ",Santa BarbaraåÊ,"100% contained - 240,207 acresåÊ",15 miles NE of BuelltonåÊ,"July 4, 2007 10:53 amåÊ"
Bayne FireåÊ,CAL FIRE Amador - El Dorado UnitåÊ,"July 3, 2007 8:00 amåÊ",El Dorado CountyåÊ,100% contained - 80 acres Bayne Rd in the town of ColomaåÊ,Bayne Rd in the town of ColomaåÊ,"July 1, 2007 3:00 pmåÊ"
Banner FireåÊ,CAL FIRE San Diego UnitåÊ,"July 3, 2007 8:00 amåÊ",San Diego CountyåÊ,100% contained - 110 Acres  Banner Grade and Wynola Road on the backside of Shelter Valley near Julian.åÊ,Banner Grade and Wynola Road on the backside of Shelter Valley near JulianåÊ,"July 1, 2007 2:30 pmåÊ"
Deer FireåÊ,CAL FIRE San Diego UnitåÊ,"July 3, 2007 8:00 amåÊ",San Diego CountyåÊ,100% contained - 60 acres  Hwy 78 and Deer Canyon RoadåÊ,Hwy 78 and Deer Canyon Road near Santa Ysabel åÊ,"July 1, 2007 1:37 pmåÊ"
Rancho FireåÊ,Los Padres National ForeståÊ,"July 3, 2007 7:00 pmåÊ",Santa Barbara CountyåÊ,100% contained - 482 acresåÊ,"Five miles north of Santa Barbara, in Santa Ynez River drainage, near Paradise Rd.åÊ","June 30, 2007 5:56 pmåÊ"
Angora Fire ,Lake Tahoe Basin Management UnitåÊ,"October 31, 2017 9:56 amåÊ",El Dorado CountyåÊ,"100% contained - 3,100 acres  West of South Lake Tahoe.åÊ",West of South Lake Tahoe åÊ,"June 24, 2007 2:10 pmåÊ"
White Fire ,Kern County FireåÊ,"July 3, 2007 7:30 pmåÊ",Kern CountyåÊ,"100% containment - 12,400 acres Twin Oakes, 20 miles northwest of RosamondåÊ","Twin Oakes, 20 miles northwest of RosamondåÊ","June 24, 2007 8:57 amåÊ"
Dye FireåÊ,CAL FIRE Tehama-Glenn UnitåÊ,"June 15, 2007 8:00 pmåÊ",Tehama CountyåÊ,100% contained - 387 acresåÊ,5 miles south of Paynes Creek åÊ,"June 13, 2007 3:35 pmåÊ"
Goldledge FireåÊ,Sequoia National ForeståÊ,"July 14, 2007 7:00 amåÊ",Tulare CountyåÊ,"100% contained - 4,196 acres åÊ",10 miles north of KernvilleåÊ,"June 3, 2007 11:30 amåÊ"
Larsen FireåÊ,Bureau of Land Management (BLM)åÊ,"June 11, 2007 8:00 amåÊ",Mono CountyåÊ,"100% contained - 1,080 acresåÊ","Between Walker & Coleville, CaliforniaåÊ","June 1, 2007 8:00 pmåÊ"
Honey FireåÊ,CAL FIRE Butte UnitåÊ,"May 23, 2007 7:00 pmåÊ",Butte CountyåÊ,100% contained - 688 acres  The fire is burning just east of Chico on Honey Run Rd and the Skyway.  åÊ,Lower end of Butte Creek CanyonåÊ,"May 22, 2007 3:15 pmåÊ"
Bolli FireåÊ,Shasta - Trinity National ForeståÊ,"May 28, 2007 8:00 amåÊ",Shasta CountyåÊ,100% contained - 730 acresåÊ,"27 miles Northeast of Redding, CA.åÊ","May 22, 2007 7:25 amåÊ"
Highway FireåÊ,Humboldt - Toiyabe National Forest åÊ,"May 27, 2007 8:00 amåÊ",Sierra CountyåÊ,100% contained - 853 acresåÊ,"Interstate 80 west of Reno, Nevada.åÊ","May 22, 2007 1:30 amåÊ"
Gorman FireåÊ,Los Angeles County FireåÊ,"May 23, 2007 8:00 amåÊ",Los Angeles CountyåÊ,"100% contained - 2,050 acres  4 miles South of Gorman. åÊ",4 miles South of GormanåÊ,"May 19, 2007 1:52 pmåÊ"
Braye FireåÊ,CAL FIRE Sonoma-Lake-Napa UnitåÊ,"May 21, 2007 6:30 amåÊ",Yolo CountyåÊ,100% contained - 450 acresåÊ,Northeast of Monticello Dam in Winters åÊ,"May 18, 2007 9:16 pmåÊ"
Del Puerto FireåÊ,CAL FIRE Santa Clara UnitåÊ,"May 15, 2007 5:00 pmåÊ",Stanislaus CountyåÊ,100% contained - 155 acresåÊ,Del Puerto Canyon Rd west of PattersonåÊ,"May 15, 2007 3:00 amåÊ"
Wofford FireåÊ,Bureau of Land Management åÊ,"May 15, 2007 8:00 amåÊ",Kern CountyåÊ,100% contained - 525 acresåÊ,1 mile south of KernvilleåÊ,"May 13, 2007 2:06 pmåÊ"
Island FireåÊ,Los Angeles County FireåÊ,"May 15, 2007 7:00 amåÊ",Los AngelesåÊ,"100% contained - 4,750 acresåÊ",Catalina Island near AvalonåÊ,"May 10, 2007 12:30 pmåÊ"
James FireåÊ,Sequoia National ForeståÊ,"May 3, 2007 11:00 amåÊ",Kern CountyåÊ,"100% contained - 1,350 acresåÊ","Kernville, CA åÊ","April 29, 2007 2:54 pmåÊ"
Las Flores FireåÊ,San Bernardino County FireåÊ,"April 2, 2007 6:30 pmåÊ",San BernardinoåÊ,"100% contained - 4,100 acresåÊ","Hwy 173, City of HesperiaåÊ","March 31, 2007 10:40 amåÊ"
241 / Windy Ridge FireåÊ,Orange County FireåÊ,"March 13, 2007 2:00 pmåÊ",Orange CountyåÊ,"100% contained - 2,036 acresåÊ","South Bound 241 near Wind Ridge Toll Plaza, AnaheimåÊ","March 11, 2007 7:53 amåÊ"
McCoy FireåÊ,Cleveland National ForeståÊ,"October 30, 2007 6:00 amåÊ",San Diego CountyåÊ,100% contained - 353 acresThe Cleveland National Forest is CLOSED to the public and all activity until further notice pursuant to Forest Order 02-07-07. åÊ,Boulder Creek / Eagle PeakåÊ,"December 31, 1969 4:00 pmåÊ"
Sayre FireåÊ,Los Angeles City FireåÊ,"November 20, 2008 8:00 pmåÊ",Los Angeles County / Angeles National ForeståÊ,"11,262 acres - 100% containedåÊ",SylmaråÊ,"November 14, 2008 10:29 pmåÊ"
Tea Fire ,"CAL FIRE, Montecito City Fire, Santa Barbara City Fire and Santa Barbara County Fire.åÊ","November 17, 2008 6:00 pmåÊ",Santa Barbara CountyåÊ,"1,940 acres - 100% containedåÊ","Montecito, Cold Springs Creek and Hot Springs Road.åÊ","November 13, 2008 6:30 pmåÊ"
Marek FireåÊ,Los Angeles County Fire / Angeles National ForeståÊ,"October 12, 2008 2:03 amåÊ",Los Angeles CountyåÊ,"4,824 acres - 100% containedåÊ",West Side Little Tujunga CanyonÌâåÊåÊ,"October 28, 2008 8:00 amåÊ"
Shockey Fire ,CAL FIRE San Diego UnitÌâåÊåÊ,"October 14, 2008 7:00 pmåÊ",San Diego CountyåÊ,200 acres - 100% containedåÊ,Near Shockey Truck Trail and Highway 94 åÊ,"October 14, 2008 2:45 pmåÊ"
Juliet FireåÊ,Camp Pendleton Fire and Oceanside City Fire Department åÊ,"October 14, 2008 8:00 amåÊ",San Diego CountyåÊ,"4,026 acres - 100% containedåÊ",Southeast portion of Camp Pendleton Marine Base åÊ,"October 13, 2008 10:49 amåÊ"
Sesnon Fire ,CAL FIRE / LA County Fire Department / LA City Fire Department / Ventura County Fire Department åÊ,"October 18, 2008 8:00 amåÊ",Los Angeles CountyåÊ,100%åÊ,"Porter Ranch Community, Twin Lakes and Indian Hills areaåÊ","October 13, 2008 10:38 amåÊ"
Deer Fire ,CAL FIRE Sonoma-Lake-Napa UnitåÊ,"October 10, 2008 4:45 pmåÊ",Napa CountyåÊ,300 acres - 100% containedåÊ,East of St. Helena near Deer Park åÊ,"October 13, 2008 8:00 amåÊ"
South FireåÊ,Ventura County FireåÊ,"October 13, 2008 3:35 amåÊ",Ventura CountyåÊ,30 acres - 100% containedåÊ,South Mountain near Santa PaulaåÊ,"October 13, 2008 3:35 amåÊ"
Colony Fire ,CAL FIRE Humboldt-Del Norte UnitåÊ,"September 7, 2008 3:39 pmåÊ",Humboldt CountyåÊ,155 acres - 100% containedåÊ,7 miles east of Myers Flat near Eel RockåÊ,"September 10, 2008 8:00 amåÊ"
Canyon FireåÊ,CAL FIRE Nevada-Yuba-Placer UnitåÊ,"September 6, 2008 8:00 amåÊ",Nevada CountyåÊ,5-7 acres - 100% containedåÊ,Silverthrone Lane off of Jackass Flats RoadåÊ,"September 5, 2008 2:33 pmåÊ"
Smitty FireåÊ,CAL FIRE Tuolumne-Calaveras UnitåÊ,"September 4, 2008 8:00 amåÊ",Calaveras CountyåÊ,100 acres - 100% containedåÊ,Smitty Lane and West Point Road in West PointåÊ,"September 1, 2008 4:29 pmåÊ"
Gladding Fire ,CAL FIRE Nevada-Yuba-Placer Unit åÊ,"September 3, 2008 9:00 amåÊ",Placer CountyåÊ,960 acres - 100% containedåÊ,Northeast of Lincoln åÊ,"September 1, 2008 12:39 pmåÊ"
Craig Fire ,CAL FIRE Butte UnitåÊ,"August 11, 2008 7:00 pmåÊ",Butte County åÊ,"2,001 acres - 100% containedåÊ","Lake Oroville, east of OrovilleåÊ","August 3, 2008 2:40 pmåÊ"
Telegraph Fire ,CAL FIRE Madera-Mariposa-Merced UnitåÊ,"August 6, 2008 12:00 pmåÊ",Mariposa County åÊ,"34,091 acres - 100% containedåÊ",Telegraph Road and Sherlock Road in the Midpines AreaåÊ,"July 25, 2008 3:15 pmåÊ"
Popcorn Fire ,CAL FIRE Lassen-Modoc UnitåÊ,"June 26, 2008 10:00 amåÊ",Shasta County / Lassen CountyåÊ,"100% contained - 3,100 acresåÊ",Little ValleyåÊ,"June 24, 2008 8:14 amåÊ"
Basin Complex (Gallery and Basin Fires)åÊ,Monterey Ranger District---Los Padres National ForeståÊ,"June 24, 2008 7:45 amåÊ",Monterey CountyåÊ,"3% contained - 8,500 acres åÊ",5 miles south of Big SuråÊ,"June 23, 2008 12:15 pmåÊ"
Walker Fire ,CAL FIRE Sonoma-Lake-Napa UnitåÊ,"July 3, 2008 7:00 amåÊ",Lake CountyåÊ,"100% contained - 14,500 acres                      åÊ",Indian Valley ReservoiråÊ,"June 22, 2008 4:41 pmåÊ"
Wild Fire ,CAL FIRE Sonoma-Lake-Napa UnitåÊ,"June 26, 2008 6:00 amåÊ",NapaåÊ,"100% contained - 4,089 acres åÊ",Northeast of Napa and Northwest of FairfieldåÊ,"June 21, 2008 4:00 pmåÊ"
Brown Fire ,CAL FIRE San Benito - Monterey UnitåÊ,"June 24, 2008 7:30 amåÊ",San Benito CountyåÊ,"100% contained - 3,870 acres åÊ",Hollister/PanocheåÊ,"June 21, 2008 3:10 pmåÊ"
Whitehurst / Hummingbird Fire ,CAL FIRE Santa Clara UnitåÊ,"June 26, 2008 11:00 amåÊ",Santa ClaraåÊ,Hummingbird - 794 acres and 100% containedWhitehurst - 200 acres and 100% containedåÊ,West of Gilroy and Morgan HillåÊ,"June 21, 2008 1:57 pmåÊ"
Lime Complex ,Shasta National ForeståÊ,"July 27, 2008 6:00 amåÊ",Trinity CountyåÊ,"74% contained - 55,773 acres åÊ",5 miles south of HyampomåÊ,"June 20, 2008 4:50 pmåÊ"
Trabing Fire ,CAL FIRE Santa Cruz / San Mateo UnitåÊ,"June 26, 2008 4:30 pmåÊ",Santa Cruz CountyåÊ,100% containment - 630 acres. åÊ,North of Watsonville near Hwy 1åÊ,"June 20, 2008 1:58 pmåÊ"
Electra FireåÊ,CAL FIRE Amador - El Dorado UnitåÊ,"June 26, 2008 6:00 amåÊ",Amador CountyåÊ,100% contained - 400 acresåÊ,Powerhouse and Electra RoadåÊ,"June 13, 2008 4:00 pmåÊ"
Whiskey FireåÊ,Mendocino National Forest / CAL FIRE Tehama-Glenn UnitåÊ,"June 28, 2008 7:40 amåÊ",Tehama CountyåÊ,"100% contained - 7,783 acres åÊ",5 miles northwest of PaskentaåÊ,"June 12, 2008 12:37 pmåÊ"
Martin Fire ,CAL FIRE San Mateo-Santa Cruz UnitåÊ,"June 27, 2008 12:00 pmåÊ",Santa Cruz CountyåÊ,100% contained - 520 acres åÊ,"Bonny Doon and Martin Road, near Hwy 9åÊ","June 11, 2008 2:54 pmåÊ"
Humboldt Fire ,CAL FIRE/Butte County FireåÊ,"June 21, 2008 6:00 pmåÊ",Butte CountyåÊ,"100% contained - 23,344  acres åÊ",Hwy 32 & Humboldt Rd on Stillson CanyonåÊ,"June 11, 2008 12:13 pmåÊ"
