name,administrative_unit,last_update,county,acres_burned,status_notes,location,date_started,date_only,time_24hh
Wye Fire (includes the Walker Fire) ,CAL FIRE Sonoma-Lake-Napa Unit ,8/18/12 7:00,Lake and Colusa Counties,"7,934","7,934 acres - 100% contained",Highway 20 east of Highway 53 and Clearlake Oaks,8/12/12 15:52,8/12/12,15:52:00
Lockheed Fire ,CAL FIRE San Mateo - Santa Cruz Unit,8/23/09 18:30,Santa Cruz County,"7,817","7,817 acres - 100% contained",Bonny Doon area - Smith Drainage,8/12/09 19:16,8/12/09,19:16:00
Whiskey Fire,Mendocino National Forest / CAL FIRE Tehama-Glenn Unit,6/28/08 7:40,Tehama County,"7,783","100% contained - 7,783 acres ",5 miles northwest of Paskenta,6/12/08 12:37,6/12/08,12:37:00
Parker 2 Fire,Modoc National Forest,1/9/18 12:18,Modoc County,"7,697","7,697 acres - 100% contained *** This is not a CAL FIRE incident. Click on the link for more information.",outhwest of Cedarville,8/3/17 14:00,8/3/17,14:00:00
Nickowitz Fire,USFS - Six Rivers National Forest,11/9/15 12:00,Del Norte County,"7,509","7,509 acres - 100% contained **This is not a CAL FIRE incident. Click the link above for more information from the USFS.*",ear Orleans,8/1/15 23:23,8/1/15,23:23:00
Sawmill Fire,Inyo National Forest,9/23/06 18:00,Mono County,"7,434","100% contained - 7,434 acres","Sawmill Canyon, Adobe Hills, Black Mountain",9/14/06 15:47,9/14/06,15:47:00
Big Meadow Fire,Yosemite National Park,9/7/09 7:00,Mariposa County,"7,425","7,425 acres - 100% contained",Foresta Community,8/26/09 12:08,8/26/09,12:08:00
La Tuna Fire ,"LA City, Burbank Fire Department",1/9/18 12:49,Los Angeles County,7194,"7,194 and 100% contained*** This is not a CAL FIRE incident. Click the link for more information. ","Lowell Ave and I-210, Verdugo Hills, Los Angeles City",9/1/17 13:26,9/1/17,13:26:00
Sheep Fire,US Forest Service - San Bernardino National Forest,10/10/09 18:30,San Bernardino County,"7,128","7,128  acres - 100% contained",Lytle Creek Canyon and Highway 138,10/3/09 14:11,10/3/09,14:11:00
South Fork Fire,Yosemite National Park ,1/9/18 12:39,Mariposa County,"7,000","7,000 acres - 100% contained *** This is NOT a CAL FIRE incident. Click on the link for more information.","off Wawona Rd, east of Wawona",8/14/17 14:28,8/14/17,14:28:00
Cabin Fire,USFS - Sequoia National Forest,9/5/15 18:00,Tulare County,"6,980","6,980 acres - 100% contained*** This was not a CAL FIRE incident. Click the link above for information from the Sequoia National Forest. *** ","Golden Trout Wilderness, Sequoia National Forest",7/19/15 8:00,7/19/15,8:00:00
Boot Fire,Humboldt-Toiyabe National Forest,1/4/19 9:09,Mono County,"6,974","6,974 acres - 100% contained*** This is not a CAL FIRE incident. Click the link above for more information from the Humboldt-Toiyabe National Forest","Hwy 395 & Hwy 108, Sonora Junction",9/4/18 14:26,9/4/18,14:26:00
Panther Fire ,CAL FIRE Butte Unit,5/9/13 9:00,Tehama County,"6,965","6,965 acres - 100% contained.","140K3 Line, 8 miles northwest of Butte Meadows",5/1/13 9:12,5/1/13,9:12:00
Kingsley Complex,Mendocino National Forest,8/7/06 7:00,Mendocino County,"6,854","100% contained  - 6,854 acres",38 miles SW of Red Bluff.,7/25/06 5:30,7/25/06,5:30:00
Three Rocks Fire,CDF Fresno-Kings Unit,7/24/06 7:00,Fresno County,"6,500","100% contained - 6,500 acres ",20 miles north of City of Coalinga,7/22/06 20:00,7/22/06,20:00:00
Gloria Fire ,CAL FIRE San Benito - Monterey Unit,8/31/09 18:00,Monterey & San Benito County,"6,437","6,437 acres - 100% contained",Northeast of Soledad,8/27/09 14:57,8/27/09,14:57:00
Jackson Fire,Sacramento Metropolitan Fire District / CAL FIRE Amador- El Dorado Unit ,6/13/08 10:15,Sacramento County,"6,400","100% contained - 6,400 acres",Hwy 16 at Bradshaw Road,6/10/08 12:00,6/10/08,12:00:00
Midway Fire ,CDF Santa Clara Unit,7/12/06 7:00,Alameda,6400,"100% contained - 6,400 acres",Patterson Pass and Midway Rd,7/11/06 15:20,7/11/06,15:20:00
Backbone Fire,Six Rivers National Forest,8/8/09 7:00,Trinity County,"6,324","6,324 acres - 100% containedContinued monitoring of the fire area will continue within the interior, while completing suppression repair activites, mop up and rehab measures.",Trinity Alps Wilderness,7/7/09 11:13,7/7/09,11:13:00
Manzanita Fire,CAL FIRE/Riverside County Fire,1/9/18 11:08,Riverside County,"6,309","6,309 acres - 100% contained ","Hwy 79 North, Lambs Canyon south of Dump Road, south of Beaumont",6/26/17 15:10,6/26/17,15:10:00
Coffee Fire,US Forest Service - Shasta Trinity National Forest,11/14/14 13:00,Shasta County,"6,258","6,258 acres - 100% contained***This was not a CAL FIRE incident.  Click on the link above for more information.",East Fork of the Coffee Creek Drainage,7/30/14 20:30,7/30/14,20:30:00
Sage Fire,Modoc National Forest ,8/5/06 7:00,Modoc County,"6,200","100% contained - 6,200 acres",15 miles north of Alturas,7/26/06 10:30,7/26/06,10:30:00
Happy Camp Fire,Klamath National Forest,9/24/06 17:30,Siskiyou County,"6,134","100% contained - 6,134 acres","Happy Camp, CA",7/23/06 1:01,7/23/06,1:01:00
Knight Fire,Stanislaus National Forest,8/11/09 18:00,Tuolumne County,"6,130","6,130 acres - 100% contained ","10 miles north of Twain Harte, near Mount Knight on the Middle Fork of the Stanislaus River. ",7/26/09 15:35,7/26/09,15:35:00
Mud Fire,Bureau of Land Mangement ,1/9/18 12:47,Lassen County,"6,042","6,042 acres - 100% contained *** This is not a CAL FIRE incident. Click on the link for more information.","Little Mud Flat, 18 miles northeast of Susanville ",8/29/17 14:36,8/29/17,14:36:00
Del Puerto Fire ,CDF Santa Clara Unit,7/24/03 7:00,Stanislaus,"5,909","100% contained - 5,909 acres",Del Puerto Canyon Road/MP 16,7/20/03 10:08,7/20/03,10:08:00
Willow Fire,US Forest Service - Sierra National Forest ,8/13/15 10:30,Madera County,"5,702","5,702 acres - 100% contained*** CAL FIRE is no longer in Unified Command. Click the link above for information from the Sierra National Forest. ***","off of Willow Canyon Drive and Road 274, southeast of Bass Lake",7/25/15 14:30,7/25/15,14:30:00
Tar Fire ,CAL FIRE Fresno-Kings Unit,8/17/07 19:00,Fresno County,"5,644","100% contained - 5,644 acres",9 miles southwest of Avenal,8/10/07 17:34,8/10/07,17:34:00
Little Deer Fire,CAL FIRE Siskiyou Unit / USFS-Klamath National Forest,8/18/14 10:00,Siskiyou County,"5,503","5,503 acres - 100% contained",ear Little Deer Mountain along Highway 97,7/31/14 17:45,7/31/14,17:45:00
Owens River Fire,Inyo National Forest,9/18/16 8:10,Inyo County,"5,443","5,443 acres - 100% contained ***This is NOT a CAL FIRE incident. For more information from the US Forest Service, click on the link above. ","Clark Canyon, north of Mammoth Lakes, east of Hwy 395",9/17/16 13:49,9/17/16,13:49:00
San Gabriel Complex (Formerly Fish & Reservoir Fires),Angeles National Forest,4/23/18 15:07,Los Angeles County,"5,399","5,399 acres - 100% contained *** This is NOT a CAL FIRE incident. For more information click the link above.",outh of Azusa,6/20/16 13:59,6/20/16,13:59:00
John Fire ,CAL FIRE San Bernardino Unit,9/16/11 7:00,Inyo County,"5,353","5,353 acres - 100% contained","Highway 395, 2 miles south of Big Pine in the Crater Mountain Area.",9/13/11 13:54,9/13/11,13:54:00
Banner Fire ,CAL FIRE San Diego Unit,5/29/12 12:00,San Diego County,"5,321","5,321 acres - 100% contained","off Banner Grade, south of Highway 78, east of the community of Julian",5/24/12 14:09,5/24/12,14:09:00
Motor Fire,US Forest Service - Sierra National Forest,9/6/11 10:00,Mariposa County,"5,231","5,231 acres - 100% contained**This is NOT a CAL FIRE Incident. Click the link above for information from the US Forest Service.","Hwy 140 near the Ferguson rock slide, southwest of Yosemite National Park",8/25/11 12:00,8/25/11,12:00:00
Antelope Fire ,Kern County Fire Department / CAL FIRE San Luis Obispo Unit,6/22/11 8:00,Kern County / San Luis Obispo County,"5,196","5,196 acres - 100% contained",8 miles southwest of the intersection of State Hwy 46 and State Hwy 33,6/19/11 10:15,6/19/11,10:15:00
Corral Fire,Los Angeles County Fire,11/27/07 8:00,Los Angeles,4901,"100% contained - 4,901 acresNear Malibu Creek State Park.",Malibu Creek State Park,11/24/07 3:23,11/24/07,3:23:00
Quail Fire ,Los Angeles County Fire,8/16/06 7:00,Los Angeles County,"4,864","100% contained - 4,864 acres","North bound 5 at Quail Lake Road, Gorman",8/13/06 12:33,8/13/06,12:33:00
Frog Fire,USFS Modoc National Forest,7/31/15 20:00,Modoc County,"4,863","4,863 acres - 100% contained*** This was not a CAL FIRE incident. Click the link above for more information from the Modoc National Forest.**",SW of Lava Campground,7/30/15 17:45,7/30/15,17:45:00
Stoney Fire,"Department of Defense, US Army",6/21/14 19:00,Monterey County,"4,840","4,840 acres - 100% contained***This was not a CAL FIRE incident. Click the above link for more information","Nacimiento Fergusson Road & Stoney Valley, Fort Hunter Liggett",6/19/14 15:14,6/19/14,15:14:00
Marek Fire,Los Angeles County Fire / Angeles National Forest,10/12/08 2:03,Los Angeles County,"4,824","4,824 acres - 100% contained",West Side Little Tujunga CanyonÃ‚,10/28/08 8:00,10/28/08,8:00:00
Marek Fire,Angeles National Forest ,11/14/16 14:00,Los Angeles County,"4,824","4,824 acres - 100% contained *** This is not a CAL FIRE incident.  Please click the link above for more information.",Lake View Terrace,11/14/16 5:45,11/14/16,5:45:00
Meadow Fire,Yosemite National Park,12/12/14 13:45,Mariposa County,"4,772","4,772 acres -100%  ***This was not a CAL FIRE incident. Click the link above for more information.",East of Little Yosemite Valley,8/16/14 0:00,8/16/14,0:00:00
Island Fire,Los Angeles County Fire,5/15/07 7:00,Los Angeles,"4,750","100% contained - 4,750 acres",Catalina Island near Avalon,5/10/07 12:30,5/10/07,12:30:00
Ruth Complex,Six Rivers National Forest,1/9/18 12:27,Trinity County,"4,736","4,736 - 100% contained  *** This is not a CAL FIRE incident. Click the link above for more information from the US Forest Service. ","Dutchman Rd, east of Zenia",8/7/17 22:30,8/7/17,22:30:00
El Portal Fire,Yosemite National Park and Stanislaus National Forest,8/10/14 8:15,Mariposa County,"4,689","4,689 acres - 100% contained ***This was not CAL FIRE incidents. Click the above link for more information.",Near Highway 140 and community of El Portal,7/26/14 17:00,7/26/14,17:00:00
Scotts Fire ,CAL FIRE Sonoma-Lake-Napa Unit,9/14/12 18:45,Lake County,"4,618","4,618 acres - 100% contained","west of Scott Valley Rd, on Cow Mountain, east of Ukiah ",9/7/12 13:10,9/7/12,13:10:00
Planada Fire,CAL FIRE Madera-Mariposa-Merced ,1/4/19 10:06,Merced County,"4,564","4,564 acres - 100% contained ","off Doug Road and Bonner Road, north of the community of Planada",6/15/18 10:34,6/15/18,10:34:00
Branscombe Fire,Suisun Fire Protection District,1/4/19 8:57,Solano County,"4,500","4,500 acres - 100% contained *** This is not a CAL FIRE incident.  For the most up-to-date information contact Suisun Fire Protection District.","Branscombe Road south of Hwy 12, Suisun City",10/7/18 13:00,10/7/18,13:00:00
Stafford Fire ,CAL FIRE / Shasta-Trinity Unit / Shasta-Trinity National Forest,9/13/12 19:15,Trinity County,"4,407","4,407 acres - 100% contained",5 Miles Southeast of Hayfork,9/5/12 14:40,9/5/12,14:40:00
Meadow Fire,Sequoia National Forest,12/19/16 13:30,Tulare County,"4,347","4,347 acres - 100% contained ***This is not a CAL FIRE incident, For more information click on the link above.","	East of Trail of 100 Giants between Lloyd Meadow Road and Western Divide Highway.",10/29/16 11:15,10/29/16,11:15:00
Grand Fire ,CAL FIRE / USFS Los Padres National Forest,5/21/13 19:45,Kern County/Ventura County,"4,346","4,346 acres - 100% Contained","South of Frazier Mountain Park Rd, South of Frazier Park",5/15/13 12:50,5/15/13,12:50:00
Minerva Fire,U.S. Forest Service - Plumas National Forest,1/9/18 12:08,Plumas County,"4,310","4,310 acres - 100% contained*** This is not a CAL FIRE incident. Click the above link for information from U.S. Forest Service-Plumas National Forest","Forest Road 24N26, 3 miles southwest of Quincy (Plumas County)",7/29/17 18:55,7/29/17,18:55:00
Summit Fire ,CAL FIRE Santa Clara and San Mateo & Santa Cruz Units,5/30/08 10:00,Santa Clara and Santa Cruz Counties,"4,270","100% contained - 4,270 acres ",Summit Road and Maymen Flats  South of the town of Loma Prieta,5/22/08 5:17,5/22/08,5:17:00
Goldledge Fire,Sequoia National Forest,7/14/07 7:00,Tulare County,"4,196","100% contained - 4,196 acres ",10 miles north of Kernville,6/3/07 11:30,6/3/07,11:30:00
Sites Complex ,CAL FIRE Sonoma-Lake-Napa Unit,7/12/12 19:30,Colusa County,"4,185","5 fires totaling 4,185 acres - 100% contained","Sites Lodoga Road, west of Maxwell",7/8/12 15:45,7/8/12,15:45:00
Las Flores Fire,San Bernardino County Fire,4/2/07 18:30,San Bernardino,"4,100","100% contained - 4,100 acres","Hwy 173, City of Hesperia",3/31/07 10:40,3/31/07,10:40:00
Wild Fire ,CAL FIRE Sonoma-Lake-Napa Unit,6/26/08 6:00,Napa,"4,089","100% contained - 4,089 acres ",Northeast of Napa and Northwest of Fairfield,6/21/08 16:00,6/21/08,16:00:00
Lions Fire,Sierra National Forest,1/4/19 10:03,Madera County,"4,064","4,064 acres - 100% contained *** This is not a CAL FIRE incident. Click the link for more information.",ear the Lion Point area in the Ansel Adams Wilderness,6/11/18 12:00,6/11/18,12:00:00
Way Fire,Kern County Fire / Sequoia National Forest ,8/27/14 18:00,Kern County,"4,045","4,045 acres - 100% contained***This was not a CAL FIRE incident. Please click the link above for more information.  ","orth side of Hwy 155, northwest of Wofford Heights",8/18/14 14:30,8/18/14,14:30:00
Juliet Fire,Camp Pendleton Fire and Oceanside City Fire Department ,10/14/08 8:00,San Diego County,"4,026","4,026 acres - 100% contained",Southeast portion of Camp Pendleton Marine Base ,10/13/08 10:49,10/13/08,10:49:00
Westside Fire ,Kern County Fire Department,12/10/06 8:00,Kern County,"4,025","100% contained - 4,025 acres",Interstate 5 just South of the Grapevine,12/7/06 18:01,12/7/06,18:01:00
Yuba Fire ,CAL FIRE Nevada-Yuba-Placer Unit,8/23/09 19:00,Yuba County,"3,891","3,891 acres - 100% contained",Dobbins/Oregon House area,8/14/09 12:28,8/14/09,12:28:00
Brown Fire ,CAL FIRE San Benito - Monterey Unit,6/24/08 7:30,San Benito County,"3,870","100% contained - 3,870 acres ",Hollister/Panoche,6/21/08 15:10,6/21/08,15:10:00
Goodale Fire,CDF San Bernardino Unit,6/29/06 18:00,Inyo,"3,750","100% contained - 3,750 acres",Aberdeen Area (between Independence & Big Pine),6/26/06 14:34,6/26/06,14:34:00
Roberts Fire,Camp Roberts Fire Department,5/20/16 18:00,San Luis Obispo County,"3,712","3,712 acres - 100% contained",10 miles northwest of Paso Robles on Camp Roberts Military Base,5/18/16 14:27,5/18/16,14:27:00
Walker Fire,Inyo National Forest,8/23/15 17:45,Mono County,"3,676","3,676 acres - 100% contained *** This is not a CAL FIRE incident. Click the link for more information from the US Forest Service.",orth of Walker Lake & north of June Lake Loop,8/14/15 21:31,8/14/15,21:31:00
Mill Creek 1 Fire,Hoopa Valley Tribe ,1/4/19 9:17,Humboldt County,"3,674","3,674 acres - 100% contained. ***This is not a CAL FIRE incident. Click the link above for more information.","Hwy 96 & Mill Creek Road, northeast of the Town of Hoopa",8/16/18 9:18,8/16/18,9:18:00
Lassen/Modoc Lightning Fires ,CDF Lassen-Modoc Unit / Plumas & Modoc National Forests,7/5/06 7:00,Lassen & Modoc,3500,"100% contained - 3,500 acres Boulder Complex (Plumas National Forest) ",,6/25/06 17:00,6/25/06,17:00:00
Sam Jones Fire,Army at Fort Hunter Liggett,8/4/09 18:25,Monterey County,"3,468","3,468 acres - 100% containment",Fort Hunter Liggett Training Area 27,8/2/09 16:30,8/2/09,16:30:00
Bryson Fire ,CAL FIRE San Benito - Monterey,8/28/09 11:00,Monterey County,"3,383","3,383 acres - 100% contained",Interlake Rd and Bryson-Hesperia Rd in Lockwood,8/26/09 13:26,8/26/09,13:26:00
Charlie Fire,US Forest Service - Angeles National Forest,1/4/19 9:03,Los Angeles County,"3,380","3,380 acres - 100% contained. ***This is not a CAL FIRE incident. Please click the link for more information.","Charlie Canyon Rd  and Tapia Canyon Rd, Castaic",9/22/18 14:30,9/22/18,14:30:00
41 Fire,CAL  FIRE Madera-Mariposa-Merced Unit,6/11/08 13:00,Madera County,"3,300","100% contained  - 3,300 acres ",Hwy 41 and Hwy 145;  10 miles north of FresnoFire burning in a southeast direction.,6/10/08 16:35,6/10/08,16:35:00
